Time,Data
3599,3902
3600,3902
3601,3901
3602,3909
3603,3910
3604,3895
3605,3895
3606,3902
3607,3903
3608,3901
3609,3907
3610,3907
3611,3901
3612,3896
3613,3897
3614,3901
3615,3901
3616,3897
3617,3899
3618,3899
3619,3906
3620,3906
3621,3896
3622,3899
3623,3893
3624,3893
3625,3892
3626,3891
3627,3896
3628,3894
3629,3894
3630,3885
3631,3878
3632,3885
3633,3884
3634,3884
3635,3890
3636,3890
3637,3896
3638,3892
3639,3892
3640,3884
3641,3889
3642,3887
3643,3888
3644,3888
3645,3887
3646,3883
3647,3892
3648,3890
3649,3890
3650,3889
3651,3885
3652,3886
3653,3887
3654,3887
3655,3889
3656,3894
3657,3886
3658,3896
3659,3896
3660,3891
3661,3886
3662,3884
3663,3889
3664,3889
3665,3880
3666,3886
3667,3876
3668,3876
3669,3882
3670,3880
3671,3878
3672,3892
3673,3892
3674,3886
3675,3887
3676,3879
3677,3883
3678,3883
3679,3888
3680,3887
3681,3889
3682,3889
3683,3889
3684,3888
3685,3891
3686,3890
3687,3887
3688,3887
3689,3885
3690,3888
3691,3891
3692,3892
3693,3892
3694,3897
3695,3889
3696,3892
3697,3892
3698,3892
3699,3890
3700,3891
3701,3878
3702,3890
3703,3890
3704,3885
3705,3879
3706,3896
3707,3896
3708,3893
3709,3889
3710,3885
3711,3881
3712,3881
3713,3880
3714,3877
3715,3887
3716,3889
3717,3889
3718,3881
3719,3875
3720,3884
3721,3885
3722,3885
3723,3877
3724,3871
3725,3893
3726,3878
3727,3878
3728,3879
3729,3870
3730,3879
3731,3878
3732,3878
3733,3871
3734,3875
3735,3877
3736,3875
3737,3875
3738,3877
3739,3874
3740,3873
3741,3876
3742,3876
3743,3876
3744,3875
3745,3875
3746,3877
3747,3877
3748,3872
3749,3879
3750,3868
3751,3868
3752,3871
3753,3877
3754,3880
3755,3889
3756,3889
3757,3878
3758,3868
3759,3878
3760,3878
3761,3878
3762,3883
3763,3875
3764,3879
3765,3881
3766,3881
3767,3878
3768,3882
3769,3883
3770,3878
3771,3878
3772,3877
3773,3886
3774,3889
3775,3882
3776,3882
3777,3880
3778,3881
3779,3887
3780,3886
3781,3886
3782,3893
3783,3898
3784,3887
3785,3891
3786,3891
3787,3884
3788,3895
3789,3890
3790,3895
3791,3895
3792,3901
3793,3898
3794,3898
3795,3898
3796,3892
3797,3891
3798,3900
3799,3898
3800,3898
3801,3892
3802,3900
3803,3902
3804,3904
3805,3904
3806,3904
3807,3902
3808,3899
3809,3896
3810,3896
3811,3909
3812,3909
3813,3901
3814,3897
3815,3897
3816,3890
3817,3896
3818,3896
3819,3895
3820,3895
3821,3905
3822,3906
3823,3912
3824,3896
3825,3896
3826,3905
3827,3904
3828,3898
3829,3906
3830,3906
3831,3902
3832,3902
3833,3910
3834,3906
3835,3906
3836,3901
3837,3910
3838,3906
3839,3906
3840,3901
3841,3898
3842,3915
3843,3901
3844,3901
3845,3899
3846,3902
3847,3905
3848,3915
3849,3915
3850,3913
3851,3917
3852,3914
3853,3913
3854,3913
3855,3903
3856,3910
3857,3920
3858,3916
3859,3916
3860,3919
3861,3921
3862,3912
3863,3919
3864,3919
3865,3925
3866,3930
3867,3918
3868,3921
3869,3921
3870,3928
3871,3934
3872,3919
3873,3930
3874,3930
3875,3944
3876,3931
3877,3927
3878,3933
3879,3933
3880,3931
3881,3932
3882,3928
3883,3928
3884,3937
3885,3933
3886,3933
3887,3928
3888,3928
3889,3940
3890,3933
3891,3921
3892,3933
3893,3933
3894,3940
3895,3935
3896,3937
3897,3942
3898,3942
3899,3935
3900,3932
3901,3935
3902,3929
3903,3929
3904,3931
3905,3934
3906,3920
3907,3930
3908,3930
3909,3927
3910,3930
3911,3932
3912,3925
3913,3925
3914,3920
3915,3929
3916,3916
3917,3922
3918,3922
3919,3920
3920,3930
3921,3920
3922,3914
3923,3914
3924,3924
3925,3920
3926,3926
3927,3926
3928,3921
3929,3913
3930,3911
3931,3910
3932,3910
3933,3912
3934,3911
3935,3916
3936,3912
3937,3912
3938,3915
3939,3911
3940,3914
3941,3922
3942,3922
3943,3899
3944,3911
3945,3908
3946,3909
3947,3909
3948,3907
3949,3914
3950,3919
3951,3910
3952,3910
3953,3899
3954,3896
3955,3900
3956,3905
3957,3905
3958,3907
3959,3902
3960,3907
3961,3900
3962,3900
3963,3888
3964,3902
3965,3903
3966,3899
3967,3899
3968,3900
3969,3903
3970,3897
3971,3897
3972,3892
3973,3896
3974,3907
3975,3907
3976,3907
3977,3903
3978,3899
3979,3902
3980,3895
3981,3895
3982,3901
3983,3892
3984,3905
3985,3893
3986,3893
3987,3897
3988,3894
3989,3900
3990,3891
3991,3891
3992,3895
3993,3888
3994,3899
3995,3891
3996,3891
3997,3894
3998,3894
3999,3890
4000,3895
4001,3895
4002,3897
4003,3900
4004,3896
4005,3883
4006,3883
4007,3889
4008,3895
4009,3896
4010,3887
4011,3887
4012,3880
4013,3901
4014,3889
4015,3889
4016,3892
4017,3897
4018,3906
4019,3888
4020,3888
4021,3890
4022,3887
4023,3891
4024,3882
4025,3882
4026,3890
4027,3881
4028,3881
4029,3893
4030,3893
4031,3889
4032,3881
4033,3884
4034,3883
4035,3883
4036,3883
4037,3880
4038,3890
4039,3874
4040,3874
4041,3878
4042,3869
4043,3880
4044,3881
4045,3881
4046,3886
4047,3886
4048,3874
4049,3886
4050,3886
4051,3884
4052,3877
4053,3879
4054,3869
4055,3869
4056,3872
4057,3877
4058,3866
4059,3866
4060,3884
4061,3879
4062,3879
4063,3875
4064,3875
4065,3872
4066,3875
4067,3876
4068,3871
4069,3871
4070,3881
4071,3873
4072,3878
4073,3875
4074,3875
4075,3876
4076,3880
4077,3879
4078,3889
4079,3889
4080,3882
4081,3887
4082,3869
4083,3885
4084,3885
4085,3892
4086,3878
4087,3885
4088,3884
4089,3884
4090,3885
4091,3874
4092,3883
4093,3880
4094,3880
4095,3883
4096,3902
4097,3880
4098,3886
4099,3886
4100,3889
4101,3884
4102,3888
4103,3888
4104,3885
4105,3889
4106,3897
4107,3894
4108,3894
4109,3889
4110,3877
4111,3882
4112,3890
4113,3890
4114,3887
4115,3892
4116,3881
4117,3896
4118,3896
4119,3894
4120,3893
4121,3900
4122,3887
4123,3887
4124,3897
4125,3897
4126,3897
4127,3893
4128,3893
4129,3901
4130,3907
4131,3903
4132,3890
4133,3890
4134,3901
4135,3896
4136,3905
4137,3898
4138,3898
4139,3904
4140,3901
4141,3916
4142,3914
4143,3914
4144,3892
4145,3907
4146,3899
4147,3899
4148,3911
4149,3905
4150,3909
4151,3908
4152,3908
4153,3906
4154,3904
4155,3916
4156,3908
4157,3908
4158,3909
4159,3907
4160,3917
4161,3914
4162,3914
4163,3936
4164,3913
4165,3913
4166,3909
4167,3909
4168,3917
4169,3911
4170,3912
4171,3918
4172,3918
4173,3926
4174,3911
4175,3916
4176,3923
4177,3923
4178,3923
4179,3919
4180,3920
4181,3924
4182,3924
4183,3914
4184,3921
4185,3925
4186,3923
4187,3923
4188,3910
4189,3932
4190,3929
4191,3929
4192,3937
4193,3926
4194,3928
4195,3929
4196,3929
4197,3930
4198,3925
4199,3923
4200,3923
4201,3923
4202,3926
4203,3917
4204,3922
4205,3915
4206,3915
4207,3915
4208,3921
4209,3914
4210,3912
4211,3912
4212,3911
4213,3909
4214,3899
4215,3905
4216,3905
4217,3900
4218,3886
4219,3893
4220,3892
4221,3892
4222,3890
4223,3882
4224,3885
4225,3882
4226,3882
4227,3889
4228,3881
4229,3871
4230,3872
4231,3872
4232,3874
4233,3872
4234,3862
4235,3862
4236,3868
4237,3874
4238,3864
4239,3863
4240,3863
4241,3861
4242,3870
4243,3856
4244,3843
4245,3843
4246,3841
4247,3847
4248,3844
4249,3843
4250,3843
4251,3835
4252,3826
4253,3847
4254,3829
4255,3829
4256,3834
4257,3832
4258,3838
4259,3837
4260,3837
4261,3831
4262,3835
4263,3833
4264,3826
4265,3826
4266,3834
4267,3833
4268,3826
4269,3833
4270,3833
4271,3834
4272,3827
4273,3824
4274,3824
4275,3824
4276,3821
4277,3829
4278,3824
4279,3824
4280,3817
4281,3829
4282,3821
4283,3814
4284,3814
4285,3819
4286,3821
4287,3821
4288,3827
4289,3827
4290,3830
4291,3819
4292,3825
4293,3828
4294,3828
4295,3820
4296,3820
4297,3822
4298,3819
4299,3819
4300,3820
4301,3819
4302,3824
4303,3815
4304,3815
4305,3823
4306,3815
4307,3819
4308,3827
4309,3827
4310,3816
4311,3817
4312,3816
4313,3824
4314,3824
4315,3818
4316,3822
4317,3819
4318,3809
4319,3809
4320,3816
4321,3824
4322,3816
4323,3816
4324,3816
4325,3799
4326,3806
4327,3813
4328,3813
4329,3817
4330,3814
4331,3814
4332,3810
4333,3810
4334,3807
4335,3810
4336,3812
4337,3811
4338,3811
4339,3804
4340,3813
4341,3817
4342,3818
4343,3818
4344,3807
4345,3808
4346,3813
4347,3805
4348,3805
4349,3811
4350,3811
4351,3808
4352,3811
4353,3811
4354,3811
4355,3809
4356,3809
4357,3801
4358,3801
4359,3809
4360,3807
4361,3800
4362,3804
4363,3804
4364,3808
4365,3805
4366,3795
4367,3795
4368,3795
4369,3801
4370,3809
4371,3804
4372,3804
4373,3798
4374,3779
4375,3809
4376,3799
4377,3799
4378,3805
4379,3796
4380,3803
4381,3802
4382,3802
4383,3802
4384,3807
4385,3803
4386,3801
4387,3801
4388,3814
4389,3808
4390,3806
4391,3806
4392,3806
4393,3803
4394,3806
4395,3817
4396,3806
4397,3806
4398,3807
4399,3803
4400,3798
4401,3808
4402,3808
4403,3805
4404,3810
4405,3806
4406,3803
4407,3803
4408,3806
4409,3814
4410,3805
4411,3805
4412,3811
4413,3805
4414,3816
4415,3813
4416,3813
4417,3811
4418,3810
4419,3816
4420,3822
4421,3822
4422,3816
4423,3820
4424,3813
4425,3832
4426,3832
4427,3819
4428,3829
4429,3820
4430,3819
4431,3819
4432,3824
4433,3823
4434,3826
4435,3825
4436,3825
4437,3820
4438,3814
4439,3827
4440,3827
4441,3827
4442,3833
4443,3825
4444,3827
4445,3827
4446,3827
4447,3834
4448,3835
4449,3831
4450,3831
4451,3831
4452,3837
4453,3842
4454,3836
4455,3836
4456,3836
4457,3840
4458,3844
4459,3838
4460,3838
4461,3838
4462,3835
4463,3833
4464,3846
4465,3846
4466,3842
4467,3836
4468,3849
4469,3842
4470,3842
4471,3848
4472,3845
4473,3848
4474,3850
4475,3850
4476,3843
4477,3851
4478,3850
4479,3825
4480,3825
4481,3848
4482,3850
4483,3852
4484,3850
4485,3850
4486,3854
4487,3856
4488,3856
4489,3862
4490,3862
4491,3855
4492,3861
4493,3869
4494,3862
4495,3862
4496,3859
4497,3860
4498,3861
4499,3861
4500,3864
4501,3861
4502,3868
4503,3867
4504,3867
4505,3862
4506,3862
4507,3880
4508,3870
4509,3870
4510,3863
4511,3865
4512,3870
4513,3874
4514,3874
4515,3868
4516,3865
4517,3867
4518,3865
4519,3865
4520,3865
4521,3866
4522,3861
4523,3859
4524,3859
4525,3865
4526,3859
4527,3852
4528,3843
4529,3843
4530,3859
4531,3852
4532,3844
4533,3844
4534,3844
4535,3848
4536,3845
4537,3830
4538,3839
4539,3839
4540,3847
4541,3828
4542,3829
4543,3829
4544,3826
4545,3824
4546,3818
4547,3826
4548,3826
4549,3815
4550,3821
4551,3816
4552,3811
